sentence,label
I added wrong amount and want refund,REFUND_OF_WRONG_AMOUNT
I added amount by mistake,REFUND_OF_WRONG_AMOUNT
Want to know how my Account Balance can get Deducted,ACCOUNT_BALANCE_DEDUCTED
Account balance deducted from my wallet after joining the contest,ACCOUNT_BALANCE_DEDUCTED
Account Balance deducted would you describe the reason,ACCOUNT_BALANCE_DEDUCTED
Why money is debited from my account?,ACCOUNT_BALANCE_DEDUCTED
When PowerPlay11 go for account balance deduction,ACCOUNT_BALANCE_DEDUCTED
Amount  balance deducted but when,ACCOUNT_BALANCE_DEDUCTED
How to Verify my email address,VERIFY_EMAIL
Email not verified,VERIFY_EMAIL
You are horrible,CRITICISM
You are dumb,CRITICISM
Waste app,CRITICISM
What details I need to provide for bank account,BANK_VERIFICATION_DETAILS
I don't remember some time ago once I signed up this app I have deposited some money but i didn't palyed it show how much money I have deposited,CHECK_DEPOSIT_STATUS
 My status was not updated can you show me the deposit status now ,CHECK_DEPOSIT_STATUS
" I was bored, let me check my deposit transaction",CHECK_DEPOSIT_STATUS
Show me the status of deposit,CHECK_DEPOSIT_STATUS
What are my deposit status,CHECK_DEPOSIT_STATUS
Recent deposit status,CHECK_DEPOSIT_STATUS
Show my transaction,CHECK_DEPOSIT_STATUS
Getting error while verifying PAN Card,PAN_VERIFICATION_FAILED
PAN Card verification failed ,PAN_VERIFICATION_FAILED
I am unable to verify my account,ACCOUNT_NOT_VERIFIED
How to Verify my Account?,ACCOUNT_NOT_VERIFIED
Account Not Verified,ACCOUNT_NOT_VERIFIED
Can I get the refund of my added cash,REFUND_OF_ADDED_CASH
Is my addded cash is refundable,REFUND_OF_ADDED_CASH
I want my cash back,REFUND_OF_ADDED_CASH
Not refunded,REFUND_OF_ADDED_CASH
Yes Can you help,GREETINGS_DAY
Good afternoon,GREETINGS_DAY
Good Morning,GREETINGS_DAY
Good night,GREETINGS_DAY
Good evening,GREETINGS_DAY
Good day,GREETINGS_DAY
Hey,GREETINGS_DAY
Hello,GREETINGS_DAY
"What is difference between Cash Bonus, signup bonus, surprise bonus, winnings",TYPES_BONUS
What is the difference between sign-up bonus and cash bonus,TYPES_BONUS
I want to know about bonus,TYPES_BONUS
Types of Bonus,TYPES_BONUS
Daily Bonus,TYPES_BONUS
Surprise bonus,TYPES_BONUS
Since last year I did not played any game on this however I have 2000 balance in my account now it is showing 998 would you show me the withdrawal transactions,WITHDRAWAL_STATUS
I was travelling I dont have cash I need to withdraw some money from app would you tell me withdrawal status,WITHDRAWAL_STATUS
I have withdrawn some money four days back from the wallet how do I check the amount I have withdrawn,WITHDRAWAL_STATUS
My status was not updated can you show me the withdrawal status now,WITHDRAWAL_STATUS
I want to view my withdrawal status,WITHDRAWAL_STATUS
Withdrawn status for my account,WITHDRAWAL_STATUS
List all the withdrawal ,WITHDRAWAL_STATUS
Check withdrawal status ,WITHDRAWAL_STATUS
Check Earlier withdrawal,WITHDRAWAL_STATUS
Please give my winning money,WINNINGS
Winning amount cant add,WINNINGS
I want money,WINNINGS
Winning amount,WINNINGS
I like your service,APPRECIATION
You are the best,APPRECIATION
You are amazing,APPRECIATION
Good job,APPRECIATION
My money was deducted from my account but not showing the amount added. What should I do?,DEDUCTED_AMOUNT_NOT_RECEIVED
What if amount is debited from account but not added on PowerPlay11?,DEDUCTED_AMOUNT_NOT_RECEIVED
Money got debited from bank account but not added to the wallet?,DEDUCTED_AMOUNT_NOT_RECEIVED
Amount debited from my account but not added to my wallet,DEDUCTED_AMOUNT_NOT_RECEIVED
 Deducted Amount But Not Received,DEDUCTED_AMOUNT_NOT_RECEIVED
I want to give feedback,FEEDBACK
Feedback,FEEDBACK
How much time it takes to withdraw my amount,WITHDRAWAL_TIME
I didn't get my withdrawal amount yet,WITHDRAWAL_TIME
When can I expect my withdrawal amount,WITHDRAWAL_TIME
Withdrawal approved but not received money,WITHDRAWAL_TIME
I havent received the winning amount,WITHDRAWAL_TIME
My withdrawal not received,WITHDRAWAL_TIME
Min time to withdraw,WITHDRAWAL_TIME
Please transfer winnings fast,WITHDRAWAL_TIME
Withdrawal amount duration,WITHDRAWAL_TIME
Cash Bonus Expiry,CASH_BONUS_EXPIRY
What is the deadline to edit team in safe play ,TEAM_DEADLINE
What is the deadline for a match on PowerPlay11?,TEAM_DEADLINE
What is Safe Play & Regular Play,TEAM_DEADLINE
Can I edit team in safe play,TEAM_DEADLINE
What is the regular play,TEAM_DEADLINE
Team Deadline for Match,TEAM_DEADLINE
How many playing mode,TEAM_DEADLINE
Benefit of safe play,TEAM_DEADLINE
Safe mode editing ,TEAM_DEADLINE
Playing Mode,TEAM_DEADLINE
match deadline,TEAM_DEADLINE
Unutilized Amount,UNUTILIZED_MONEY
I want to delete my pan card,DELETE_PAN_CARD
I want to change my PAN,DELETE_PAN_CARD
Pan card remove,DELETE_PAN_CARD
What's the process to verify PAN card,VERIFY_PAN
How do I verify my PAN,VERIFY_PAN
Help me to edit my mobile number,CHANGE_MOBILE_NUMBER
Help me with changing my mobile number,CHANGE_MOBILE_NUMBER
How can I Change my mobile number,CHANGE_MOBILE_NUMBER
I want to change my number,CHANGE_MOBILE_NUMBER
My mobile no. change,CHANGE_MOBILE_NUMBER
Modify mobile number,CHANGE_MOBILE_NUMBER
Are You Online,PRESENCE
Are you there,PRESENCE
Why do I Need to Verify my Account,WHY_VERIFY
