sentence,label
I am confused about what to buy since there are too many options I and I really don't know what I should focus on right now,RECOMMEND_PRODUCT
"I have been trying to maintain a healthy lifestyle as a new year goal, which products whould you recommend to me",RECOMMEND_PRODUCT
Can you help me with building an athletic body so that I participate in sports competition,RECOMMEND_PRODUCT
I need some hair care products since I have been experiencing a lot for problems lately,RECOMMEND_PRODUCT
I'm here to browse some products because my friend said heathkart has some superb varieties,RECOMMEND_PRODUCT
"I want help to reach my weight goal, can you suggest some products?",RECOMMEND_PRODUCT
Can you please suggest me some products specified to help me gain weight,RECOMMEND_PRODUCT
give me some other products regarding building a good health and body,RECOMMEND_PRODUCT
"I am aiming to get a lean body, can you help me?",RECOMMEND_PRODUCT
What is the best pre workout protein to boost heavy duty workout,RECOMMEND_PRODUCT
Please suggest me what is the best medicine of immunity boosting,RECOMMEND_PRODUCT
I want to buy best mass gainer but I am confused,RECOMMEND_PRODUCT
I want to transform my lifestyle to be more healthy,RECOMMEND_PRODUCT
I need some product suggestion depending on my health goal,RECOMMEND_PRODUCT
which is the best one to use for body gainer,RECOMMEND_PRODUCT
I am trying to cut down on my weight,RECOMMEND_PRODUCT
I want to lose 10 kg in 1 month,RECOMMEND_PRODUCT
give me all kinds of products you have,RECOMMEND_PRODUCT
what products would you suggest to lose weight?,RECOMMEND_PRODUCT
I want get muscle mass and lean mass,RECOMMEND_PRODUCT
give me all the products required for bodybuilding,RECOMMEND_PRODUCT
plz suggest me a best mass mass gainer...,RECOMMEND_PRODUCT
i want to a product for weight gain,RECOMMEND_PRODUCT
What are all the products you have?,RECOMMEND_PRODUCT
Sir I want to fast gain weight.,RECOMMEND_PRODUCT
For biceps and tricep muscle growth supplements,RECOMMEND_PRODUCT
best supplement for biceps and triceps growth,RECOMMEND_PRODUCT
Which products can you help me?,RECOMMEND_PRODUCT
Lose weight and gain lean muscles,RECOMMEND_PRODUCT
i mean i want protein supplement,RECOMMEND_PRODUCT
I want to reduce my fat,RECOMMEND_PRODUCT
I want to grow my height,RECOMMEND_PRODUCT
I want to get the product,RECOMMEND_PRODUCT
i want to gain musclemass,RECOMMEND_PRODUCT
I want a muscular body,RECOMMEND_PRODUCT
Protein shakes for weight loss,RECOMMEND_PRODUCT
i i want weight loss,RECOMMEND_PRODUCT
Best whey for lean body,RECOMMEND_PRODUCT
Best protein for lein body,RECOMMEND_PRODUCT
I want home gym product,RECOMMEND_PRODUCT
i'm beginner in gym,RECOMMEND_PRODUCT
give products for protein,RECOMMEND_PRODUCT
energy boost in body,RECOMMEND_PRODUCT
Best pre workout supplement,RECOMMEND_PRODUCT
Best multivitamins for bulking,RECOMMEND_PRODUCT
I want to purchase,RECOMMEND_PRODUCT
I want new product,RECOMMEND_PRODUCT
I want dumbells set,RECOMMEND_PRODUCT
Select another goal,RECOMMEND_PRODUCT
Best mass gainer??,RECOMMEND_PRODUCT
Best whey protein,RECOMMEND_PRODUCT
I need dumbbells,RECOMMEND_PRODUCT
MB Gold Protein,RECOMMEND_PRODUCT
Fish oil,RECOMMEND_PRODUCT
Fat Loss,RECOMMEND_PRODUCT
Bulk gainer,RECOMMEND_PRODUCT
body detox,RECOMMEND_PRODUCT
Gym Equipment,RECOMMEND_PRODUCT
Hair Fall,RECOMMEND_PRODUCT
Multi vitamin,RECOMMEND_PRODUCT
Omega 3,RECOMMEND_PRODUCT
Resistance band,RECOMMEND_PRODUCT
Slim tea,RECOMMEND_PRODUCT
True Basic,RECOMMEND_PRODUCT
Syntha 6,RECOMMEND_PRODUCT
Multivitamin,RECOMMEND_PRODUCT
Hairfall,RECOMMEND_PRODUCT
Calcium,RECOMMEND_PRODUCT
Dumbbell,RECOMMEND_PRODUCT
isopure,RECOMMEND_PRODUCT
Height,RECOMMEND_PRODUCT
BCAA,RECOMMEND_PRODUCT
what are the working hours of your call center during covid lockdown,CALL_CENTER
when can i call the call center during coronvirus lockdown,CALL_CENTER
i want your contact number where I can call you,CALL_CENTER
What time is your call centre operational during COVID?,CALL_CENTER
what is the time when call center is working,CALL_CENTER
want to contact your customer care number send me,CALL_CENTER
is the call center still functioning during lockdown,CALL_CENTER
does covid affext your call center time,CALL_CENTER
I want to call your call centre,CALL_CENTER
what time are you guys open,CALL_CENTER
pls give me customer care no,CALL_CENTER
i want to get in touch,CALL_CENTER
How do I Reach you guys,CALL_CENTER
where do I call you,CALL_CENTER
I want your number,CALL_CENTER
Contact Call Center,CALL_CENTER
Customer care number,CALL_CENTER
Consumer care number,CALL_CENTER
Since there is a lockdown and only essestial services are working will cureKart deliver me the items,RESUME_DELIVERY
I want to know when i will get my order if i place my order today,RESUME_DELIVERY
"I have not received my parcel yet, when will to start the delivery again",RESUME_DELIVERY
