sentence,label
What time is your call centre operational during COVID?,CALL_CENTER
is the call center still functioning during lockdown,CALL_CENTER
what are the working hours of your call center during covid lockdown,CALL_CENTER
does covid affext your call center time,CALL_CENTER
is your call center working during covid?,CALL_CENTER
when can i call the call center during coronvirus lockdown,CALL_CENTER
what is the time when call center is working,CALL_CENTER
Contact Call Center,CALL_CENTER
what time are you guys open,CALL_CENTER
I want to call your call centre,CALL_CENTER
Toll Free Number,CALL_CENTER
Customer care number,CALL_CENTER
pls give me customer care no,CALL_CENTER
want to contact your customer care number send me,CALL_CENTER
Consumer care number,CALL_CENTER
where do I call you,CALL_CENTER
i want to get in touch,CALL_CENTER
I want your number,CALL_CENTER
i want your contact number where I can call you,CALL_CENTER
your contact number,CALL_CENTER
How do I Reach you guys,CALL_CENTER
I'd like to cancel my pending order,CANCEL_ORDER
How can I cancel my pending order?,CANCEL_ORDER
Kindly cancel my order,CANCEL_ORDER
I want to cancel my placed order,CANCEL_ORDER
Cancellation,CANCEL_ORDER
I want to place cancellation,CANCEL_ORDER
How can i cancel my order?,CANCEL_ORDER
cancel,CANCEL_ORDER
Cancel my order,CANCEL_ORDER
Cancelling,CANCEL_ORDER
I want to cancel a product,CANCEL_ORDER
I want to cancel my order,CANCEL_ORDER
Chat with agent,CHAT_WITH_AGENT
I need customer support,CHAT_WITH_AGENT
I want to chat with an agent,CHAT_WITH_AGENT
I need to talk to someone,CHAT_WITH_AGENT
You guys are fraud,CHAT_WITH_AGENT
I want to speak with a human,CHAT_WITH_AGENT
I want to raise a complaint,CHAT_WITH_AGENT
Your delivery service is always slow I am done with CureKart,CHAT_WITH_AGENT
"hello, is ther anyone available to assist",CHAT_WITH_AGENT
contact support,CHAT_WITH_AGENT
Customer care number not available,CHAT_WITH_AGENT
call center unavailable,CHAT_WITH_AGENT
call center not reachable,CHAT_WITH_AGENT
Call centre not picking up,CHAT_WITH_AGENT
No one is answering,CHAT_WITH_AGENT
pathetic service,CHAT_WITH_AGENT
I want to complain,CHAT_WITH_AGENT
How to complaint,CHAT_WITH_AGENT
You are useless,CHAT_WITH_AGENT
Poor service,CHAT_WITH_AGENT
poor customer support,CHAT_WITH_AGENT
Waste of my time,CHAT_WITH_AGENT
Bad Service,CHAT_WITH_AGENT
Can i talk to a human,CHAT_WITH_AGENT
Could I chat with a human please,CHAT_WITH_AGENT
Live agent,CHAT_WITH_AGENT
live person to talk,CHAT_WITH_AGENT
I want to speak with a live agent,CHAT_WITH_AGENT
real person available,CHAT_WITH_AGENT
human to answer,CHAT_WITH_AGENT
connect me to supervisor,CHAT_WITH_AGENT
Give immediate resolution,CHAT_WITH_AGENT
I need urgent assistance,CHAT_WITH_AGENT
need an immediate fix to my problem,CHAT_WITH_AGENT
This is urgent,CHAT_WITH_AGENT
This is extremely urgent,CHAT_WITH_AGENT
This is an emergency,CHAT_WITH_AGENT
Talk,CHAT_WITH_AGENT
Talk to agent,CHAT_WITH_AGENT
I want to talk to your executive,CHAT_WITH_AGENT
Tell me weight gaining,CONSULT_START
Consult Start,CONSULT_START
suggest me beginner diet,CONSULT_START
can you make my ideal diet plan ?,CONSULT_START
Get Diet & Fitness Advice,CONSULT_START
Diet plan for runner,CONSULT_START
Advice a diet chart,CONSULT_START
Recommend me workout schedule diet and protein,CONSULT_START
Hi i am looking for diet chart,CONSULT_START
Hii I am looking for lean muscle body advice me diet chart,CONSULT_START
Can u provide fitness advice ?,CONSULT_START
Diet,CONSULT_START
