sentence,label,
I want to know about offers and referral programs,OFFERS_AND_REFERRALS,
What are offers and referral programs available,OFFERS_AND_REFERRALS,
Show me some offers and referrals program,OFFERS_AND_REFERRALS,
Offers and Referrals,OFFERS_AND_REFERRALS,
Do you have any referral offer,OFFERS_AND_REFERRALS,
What are active offers for me,OFFERS_AND_REFERRALS,
What are new offer this week for me,OFFERS_AND_REFERRALS,
How I can refer and Earn,OFFERS_AND_REFERRALS,
Open offers,OFFERS_AND_REFERRALS,
Show me new offers,OFFERS_AND_REFERRALS,
Back to offers,OFFERS_AND_REFERRALS,
What are new offer this week for me,OFFERS_AND_REFERRALS,
Offers and referral program are active on the PowerPlay11,OFFERS_AND_REFERRALS,
What are the referral offers,OFFERS_AND_REFERRALS,
Referral offers,OFFERS_AND_REFERRALS,
My friend was asking for referral code do I will get referral bonus,OFFERS_AND_REFERRALS,
Any promotions available,OFFERS_AND_REFERRALS,
Referral,OFFERS_AND_REFERRALS,
How do I Refer and earn,OFFERS_AND_REFERRALS,
Refer and Earn Program,OFFERS_AND_REFERRALS,
What is the refer and earn program,OFFERS_AND_REFERRALS,
Show my referrals,OFFERS_AND_REFERRALS,
Do you have any referral offer for me,OFFERS_AND_REFERRALS,
What are active offers for me,OFFERS_AND_REFERRALS,
Return on Referrals,OFFERS_AND_REFERRALS,
Check Deposit Status,CHECK_DEPOSIT_STATUS,
My deposit statement,CHECK_DEPOSIT_STATUS,
What are my deposit status,CHECK_DEPOSIT_STATUS,
Track deposit status,CHECK_DEPOSIT_STATUS,
Show my deposit status,CHECK_DEPOSIT_STATUS,
Deposit Status,CHECK_DEPOSIT_STATUS,
Recent deposit status,CHECK_DEPOSIT_STATUS,
Show my deposit statement,CHECK_DEPOSIT_STATUS,
" I was bored, let me check my deposit transaction",CHECK_DEPOSIT_STATUS,
Transaction,CHECK_DEPOSIT_STATUS,
Transaction status,CHECK_DEPOSIT_STATUS,
Show my deposit status,CHECK_DEPOSIT_STATUS,
Show my transaction,CHECK_DEPOSIT_STATUS,
Show me the status of deposit,CHECK_DEPOSIT_STATUS,
My status was not updated can you show me the deposit status now,CHECK_DEPOSIT_STATUS,
I don't remember some time ago once I signed up this app I have deposited some money but i didn't palyed it show how much money I have deposited,CHECK_DEPOSIT_STATUS,
Deposit,CHECK_DEPOSIT_STATUS,
How to join a Contest?,JOIN_CONTEST,
How can I join a Contest on PowerPlay11?,JOIN_CONTEST,
Contest join,JOIN_CONTEST,
Joining contest,JOIN_CONTEST,
Join contest,JOIN_CONTEST,
Contest joining,JOIN_CONTEST,
What are the ways to join contest,JOIN_CONTEST,
Join a contest,JOIN_CONTEST,
Withdrawal Time,WITHDRAWAL_TIME,
How much time it takes to withdraw my amount,WITHDRAWAL_TIME,
I didn't get my withdrawal amount yet,WITHDRAWAL_TIME,
Withdrawal approved but not received money,WITHDRAWAL_TIME,
My withdrawal not received,WITHDRAWAL_TIME,
Min time to withdraw,WITHDRAWAL_TIME,
Withdrawal amount duration,WITHDRAWAL_TIME,
When can I expect my withdrawal amount,WITHDRAWAL_TIME,
Withdrawal amount not received,WITHDRAWAL_TIME,
Where is my withdraw,WITHDRAWAL_INTRO,Earlier was WITHDRAWAL_INTRO
Withdrawals,WITHDRAWAL_INTRO,
Minimum withdrawal limit,WITHDRAWAL_INTRO,
What is the steps to withdraw amount,WITHDRAWAL_INTRO,
Withdrawal steps,WITHDRAWAL_INTRO,
Limit of withdrawal,WITHDRAWAL_INTRO,
What are the steps to withdraw amount,WITHDRAWAL_INTRO,
What are the steps to withdraw money,WITHDRAWAL_INTRO,
Maximum withdrawal limit,WITHDRAWAL_INTRO,
Withdrawal limit,WITHDRAWAL_INTRO,
How to withdraw amount,WITHDRAWAL_INTRO,
How to withdraw money,WITHDRAWAL_INTRO,
Minimum amount I can withdraw,WITHDRAWAL_INTRO,
How much winning can I withdraw,WITHDRAWAL_INTRO,
Details for Bank Account Verification,BANK_VERIFICATION_DETAILS,
What details I need to provide for bank account,BANK_VERIFICATION_DETAILS,
Wrong amount refund,REFUND_OF_WRONG_AMOUNT,
Amount added by mistake,REFUND_OF_WRONG_AMOUNT,
I added amount by mistake,REFUND_OF_WRONG_AMOUNT,
Wrong amount added refund please,REFUND_OF_WRONG_AMOUNT,
I added wrong amount and want refund,REFUND_OF_WRONG_AMOUNT,
Refund of Wrong Amount,REFUND_OF_WRONG_AMOUNT,
Refund of Added Cash,REFUND_OF_ADDED_CASH,
Please refund money,REFUND_OF_ADDED_CASH,
Not refunded,REFUND_OF_ADDED_CASH,
Refund my cash,REFUND_OF_ADDED_CASH,
How I can get refund of my cash,REFUND_OF_ADDED_CASH,
Can I get the refund of my added cash,REFUND_OF_ADDED_CASH,
I want my cash back,REFUND_OF_ADDED_CASH,
Is my addded cash is refundable,REFUND_OF_ADDED_CASH,
Chat With an Agent,CHAT_WITH_AN_AGENT,
Nope,CHAT_WITH_AN_AGENT,
"No, I couldn't find",CHAT_WITH_AN_AGENT,
No,CHAT_WITH_AN_AGENT,
Couldn't,CHAT_WITH_AN_AGENT,
Talk with an agent,CHAT_WITH_AN_AGENT,
Need to chat with an agent,CHAT_WITH_AN_AGENT,
